leiloeiro,dataleilao,placa,chassi,lote,datainc
Copasa Leiloes-3,06/07/2021,HDY0630,9C6KE090060007230,2,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3720,9C6KE043050050959,3,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN9490,9C6KE094070018697,4,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3721,9C6KE043050050911,5,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3741,9C6KE043050050964,6,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3821,9C6KE043050050925,7,08/02/2023
Copasa Leiloes-3,06/07/2021,GXR5981,9C2JC30302R000310,8,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7621,9C6KE094070017348,9,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7731,9C6KE094070017449,10,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3722,9C6KE043050050938,11,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3732,9C6KE043050050918,12,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3782,9C6KE043050050990,13,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3822,9C6KE043050051100,14,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN4042,9C6KE043050052678,15,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7662,9C6KE094070017342,16,08/02/2023
Copasa Leiloes-3,06/07/2021,HAL7862,9C6KE044040037452,17,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3703,9C6KE043050050935,18,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3733,9C6KE043050050954,19,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3763,9C6KE043050050994,20,08/02/2023
Copasa Leiloes-3,06/07/2021,GXR4143,9C2JC30301R007474,21,08/02/2023
Copasa Leiloes-3,06/07/2021,HBB4413,9C6KE043040035466,22,08/02/2023
Copasa Leiloes-3,06/07/2021,GKJ7233,34500512638036,23,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7623,9C6KE094070017329,24,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7773,9C6KE094070017463,25,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN9493,9C6KE094070018708,26,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN9503,9C6KE094070018705,27,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3684,9C6KE043050050949,28,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3794,9C6KE043050050928,29,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN4044,9C6KE043050052671,30,08/02/2023
Copasa Leiloes-3,06/07/2021,HBB4404,9C6KE043040035451,31,08/02/2023
Copasa Leiloes-3,06/07/2021,HAL7724,9C6KE044040037528,32,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7774,9C6KE094070017441,33,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3745,9C6KE037050031942,34,08/02/2023
Copasa Leiloes-3,06/07/2021,GXR4185,9C2JC30301R007468,35,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7615,9C6KE094070017297,36,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3766,9C6KE043050050987,37,08/02/2023
Copasa Leiloes-3,06/07/2021,HEN7686,9C6KE094070017296,38,08/02/2023
Copasa Leiloes-3,06/07/2021,HCN3717,9C6KE043050050989,39,08/02/2023
Copasa Leiloes-3,06/07/2021,HBM9197,93ZC3570148312473,40,08/02/2023
Copasa Leiloes-5,19/08/2021,GXR6343,9C2JC30302R000787,1,08/02/2023
Copasa Leiloes-5,19/08/2021,GXR6493,9C2JC30302R000786,2,08/02/2023
Copasa Leiloes-5,19/08/2021,HAL7729,9C6KE044040037530,3,08/02/2023
Copasa Leiloes-5,19/08/2021,HAL7907,9C6KE044040037009,4,08/02/2023
Copasa Leiloes-5,19/08/2021,HAL7969,9C6KE038040012303,5,08/02/2023
Copasa Leiloes-5,19/08/2021,HAL7999,9C6KE044040037082,6,08/02/2023
Copasa Leiloes-5,19/08/2021,HAL8017,9C6KE038040012306,7,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3687,9C6KE043050050955,8,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3708,9C6KE043050050929,9,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3728,9C6KE043050050481,10,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3739,9C6KE043050050917,11,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3756,9C6KE043050050999,12,08/02/2023
Copasa Leiloes-5,19/08/2021,HCN3771,9C6KE043050050984,13,08/02/2023
Copasa Leiloes-5,19/08/2021,HDY5988,9C6KE090070012960,14,08/02/2023
Copasa Leiloes-5,19/08/2021,HEN5390,9C2JC30707R116590,15,08/02/2023
Copasa Leiloes-5,19/08/2021,HEN7685,9C6KE094070017420,16,08/02/2023
Copasa Leiloes-5,19/08/2021,HEN7696,9C6KE094070017314,17,08/02/2023
Copasa Leiloes-5,19/08/2021,HEN7727,9C6KE094070017434,18,08/02/2023
Copasa Leiloes-5,19/08/2021,HEN7734,9C6KE094070017450,19,08/02/2023
Copasa Leiloes-5,19/08/2021,OQF5289,9C2JD2320DR010951,20,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL7502,9C2KD0550ER314074,21,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8814,9C2KD0550ER314053,22,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8819,9C2KD0550ER207625,23,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8829,9C2KD0550ER207588,24,08/02/2023
Copasa Leiloes-5,19/08/2021,OWL8840,9C2KD0550ER314080,25,08/02/2023
